"package","version","direct_dependency"
"bit","4.5.0.1",FALSE
"bit64","4.6.0-1",FALSE
"cli","3.6.3",FALSE
"clipr","0.8.0",FALSE
"cpp11","0.5.1",FALSE
"crayon","1.5.3",FALSE
"dplyr","1.1.4",TRUE
"fansi","1.0.6",FALSE
"farver","2.1.2",FALSE
"forcats","1.0.0",TRUE
"generics","0.1.3",FALSE
"ggplot2","4.0.0",TRUE
"ggrepel","0.9.6",TRUE
"glue","1.8.0",FALSE
"gtable","0.3.6",FALSE
"hms","1.1.3",FALSE
"igraph","2.0.3",TRUE
"isoband","0.2.7",FALSE
"labeling","0.4.3",FALSE
"lattice","0.22-6",FALSE
"lifecycle","1.0.4",FALSE
"magrittr","2.0.3",FALSE
"Matrix","1.7-0",FALSE
"patchwork","1.3.2",TRUE
"pillar","1.10.1",FALSE
"pkgconfig","2.0.3",FALSE
"prettyunits","1.2.0",FALSE
"progress","1.2.3",FALSE
"purrr","1.0.2",FALSE
"R6","2.5.1",FALSE
"RColorBrewer","1.1-3",FALSE
"Rcpp","1.0.14",FALSE
"readr","2.1.5",TRUE
"rlang","1.1.5",FALSE
"S7","0.2.0",FALSE
"scales","1.4.0",TRUE
"stringi","1.8.4",FALSE
"stringr","1.5.1",TRUE
"svglite","2.1.3",TRUE
"systemfonts","1.1.0",FALSE
"tibble","3.2.1",FALSE
"tidyr","1.3.1",TRUE
"tidyselect","1.2.1",FALSE
"tzdb","0.4.0",FALSE
"utf8","1.2.4",FALSE
"vctrs","0.6.5",FALSE
"viridisLite","0.4.2",FALSE
"vroom","1.6.5",FALSE
"withr","3.0.2",FALSE
