target_work_id,author_normalized
WORK-87B9EA587567,金国利
WORK-EC3AFDE4EE8C,高梁
WORK-1631D227DAD7,邢建平
WORK-E897AD1D8598,邢建平
WORK-E6DDFD3A68E3,姚建宗
WORK-9D813B3D4D70,单飞跃
WORK-9D813B3D4D70,杨期军
WORK-E865C243F293,詹娜
WORK-664A7BC0ECBB,蒲仪军
WORK-0BA26B2E12A2,圣光
WORK-A47D9355F122,于春
WORK-29845677CC8A,李萌昀
WORK-6AC6A0BDA81A,卫华
WORK-B06F4EAAA310,张晓
WORK-1D860C72D9A2,王宁
WORK-4465A2D872FE,廖菲
WORK-5C0C6832361A,史秋霞
WORK-5C0C6832361A,王毅杰
WORK-C7974EBCDD2A,胡娟
WORK-C7974EBCDD2A,叶忠元
WORK-E7BF4FFB4859,孙莉孙佳乐
WORK-2974E91CC757,王开庆
WORK-2974E91CC757,王毅杰
WORK-32B52878E070,邵婷
WORK-464D5DA7B167,吴迪
WORK-464D5DA7B167,高鹏
WORK-464D5DA7B167,董纪昌
WORK-B2AEB0087362,袁祖社
WORK-B2AEB0087362,高扬
WORK-D5F454A72368,唐丹丽
WORK-EA198B58CCD6,朱荟
WORK-EA198B58CCD6,吴情操
WORK-EEC311425B6A,刘涤宇
WORK-0B7C450D6ADC,徐晓林
WORK-0B7C450D6ADC,赵铁
WORK-0B7C450D6ADC,特里N克拉克
WORK-151D982F4D90,何菁
WORK-151D982F4D90,董群
WORK-4DF3DD69485A,李哲
WORK-17D3A65D3B18,吴迪
WORK-2D179F990273,马海
WORK-3DD575407739,吴军
WORK-3DD575407739,夏建中
WORK-3DD575407739,特里克拉克
WORK-B6EE04E59A35,胡焱
WORK-C3E9B5481C5D,王贵斌
WORK-C3E9B5481C5D,斯蒂芬麦克道威尔
WORK-D34D243D26AC,章滇予
WORK-D34D243D26AC,段立早
WORK-073C103DDD79,丁秀明
WORK-11BA0618FDA2,吴军
WORK-404371989418,方玲玲
WORK-418DFB6A97D4,曹媛媛
WORK-7B4278E8A9E1,陈胜
WORK-7B4278E8A9E1,马凌
WORK-7E60E1E4894D,徐姗
WORK-8DDEAF20AE97,吴军
WORK-9199791EE5AA,王宁
WORK-AF10917AAC94,王宁
WORK-C017443D412F,吴军
WORK-C017443D412F,特里N克拉克
WORK-CEC8EC830E05,杜宏武
WORK-0BB9D7EEFC5D,袁玉
WORK-0F2883DD3ADF,黄桂萍
WORK-0F2883DD3ADF,苏婉
WORK-18683D52F9EB,吴军
WORK-1ED77663E6F2,梁旭艳
WORK-336C4ED8A6B4,韦妙
WORK-3DA239182C94,吴军
WORK-538BB6BA8358,邱翔
WORK-5795068209F6,王茜
WORK-72B82823F53C,何梦祎
WORK-8A0600500C72,何玉珍
WORK-8A0600500C72,林昆勇
WORK-BC5A9BAE5E66,桂慕梅
WORK-CDA5B28A1B38,何志武
WORK-CDA5B28A1B38,吴瑶
WORK-CF818B88DFFB,李畅阮超男
WORK-D3E04D9B2DA6,张海燕
WORK-D9129375D46A,吴军
WORK-E1B06A9207B2,马凌
WORK-E1BC46E0F407,钟惠朵朵
WORK-E1DC6AE5F972,王晨晨
WORK-FFBF5629405C,胡少雄
WORK-FFBF5629405C,王俊义
WORK-04F1AE7CEE39,夏昕
WORK-06EC6ED302E9,韩有业
WORK-06EC6ED302E9,马弋飞
WORK-08D321A87F54,何菁
WORK-11ABB2609315,蒋晓丽
WORK-11ABB2609315,梁旭艳
WORK-2AE02E99DE9D,王璐
WORK-2AE34B599267,王亮
WORK-3602E64913A5,刘生雨
WORK-381DE3B64F60,湛贵玲
WORK-65E3A3E1D4AB,李连申
WORK-80AC7412450E,傅才武
WORK-80AC7412450E,侯雪言
WORK-87971B690A95,邓向阳
WORK-87971B690A95,荆亚萍
WORK-8976C0808FB0,陈波
WORK-8976C0808FB0,刘波
WORK-90314F15CF7F,刘峰
WORK-9103620FAB2B,赵艺玲
WORK-925823E88CBD,余晨晨
WORK-A61BE47839F5,眭谦
WORK-A61BE47839F5,毛万熙
WORK-D98EA21C85A0,吴军
WORK-D98EA21C85A0,特里N克拉克
WORK-F88991C217E0,张燕
WORK-1DB6C72173B8,尹璐
WORK-1F24537454BE,陈田雨
WORK-22D5574128FA,翟婧倩
WORK-258AF028DD78,陈波
WORK-258AF028DD78,侯雪言
WORK-26A61E07F626,范莹滢
WORK-3C97BC0084BC,范玉刚
WORK-43E9D343D41D,陈波
WORK-43E9D343D41D,吴云梦汝
WORK-47EF626C134E,张炳杰
WORK-4D1A3778BEE1,李惠芬
WORK-4D1A3778BEE1,叶南客
WORK-4EC916BBD146,江飞
WORK-5CCEE49C14EE,吴军
WORK-5F01D46F05DF,刘东超
WORK-6605B9FDFED8,汤诗旷
WORK-7027C924E4F0,吴志明
WORK-7027C924E4F0,马秀莲
WORK-7027C924E4F0,吴军
WORK-84D006C073AB,盖琪
WORK-96EB2A278799,高睿
WORK-A29A94211D90,刘展
WORK-A3C8037F24BA,苏静
WORK-A7E6C397651F,孙云霏
WORK-B505B0D8FEAA,范玉刚
WORK-CBCE82BF26D4,祁述裕
WORK-D782CAA5BED4,代卫
WORK-D782CAA5BED4,罗彬
WORK-D910625E613C,庞春雨
WORK-D910625E613C,李鼎淳
WORK-E4E30021373B,王宁
WORK-E835352E3E15,尹良伟
WORK-F8A000AE3779,黄剑
WORK-FD23AF448DB7,郭美娟
WORK-FD8549D77088,祁述裕
WORK-FD8549D77088,吴军
WORK-0ACBB3552D0E,赵金科
WORK-149C623803D2,陈雪
WORK-149C623803D2,郝庆
WORK-16A5435FB8E9,苟爽
WORK-18E12346BE52,吴军
WORK-18E12346BE52,张娇
WORK-21034677D170,杨洪吕
WORK-253D64AF1513,郭梓亮
WORK-2984D1252899,谭辉煌
WORK-2BDD516ABD12,杨峰
WORK-2BDD516ABD12,赵珊
WORK-3A9F0A5EBF55,付玉
WORK-3A9F0A5EBF55,王婧
WORK-45FFFFD73691,周韦希
WORK-4AC403FD6E24,黎芸
WORK-4C99AC586532,张颖
WORK-6B57544282AC,李舒霓
WORK-6F64966BD86F,朱盛兰
WORK-7F10A9651B87,闫丽源
WORK-86A7D8B3BE0F,王军峰
WORK-8958827E2F42,周佳
WORK-8D75C53DB35D,戴斌
WORK-91F01F668C94,陈波
WORK-91F01F668C94,丁程
WORK-96B69771DEB5,马江宝
WORK-96B69771DEB5,赵苹
WORK-A68A1396CBF6,张培奇
WORK-A68A1396CBF6,胡惠林
WORK-ACA18EEF2904,敖成兵
WORK-AD131FD6DE8B,栾轶玫
WORK-AD131FD6DE8B,刘宏
WORK-B771EF0BECEC,麻小影
WORK-C58C0215670E,朱直君
WORK-C58C0215670E,高梦薇
WORK-CFD28C95709D,蒋晓宇
WORK-EB2FE67A6D41,许奇广
WORK-F55820AD6426,余怡婷
WORK-1031285E7F04,徐菁婧
WORK-115028D105AE,淡庆
WORK-11C4AAF2C2BE,陈波
WORK-196CC957AA09,王春枝
WORK-1C62215D586F,孙鑫
WORK-1C62215D586F,邓开发
WORK-1F32C5B5FA64,唐忠会
WORK-1F32C5B5FA64,李娅
WORK-202FD62AADD3,何盼盼
WORK-202FD62AADD3,陈雅
WORK-26572BAD0080,曹子郁
WORK-288DD3510B11,彭伟步
WORK-2C67234DF18D,程江雪
WORK-355D7E34FEFD,张桂杰
WORK-3AEA43B48F2A,贺亚莉
WORK-3CC079ACFF20,耿达
WORK-4226F8693EBF,喻国明
WORK-4226F8693EBF,李健祺
WORK-4226F8693EBF,靳江楠
WORK-4226F8693EBF,王莹
WORK-45D4AAC4BCC4,杨开忠
WORK-4F1245FE4F71,范振坤
WORK-5281F4B034A3,李林
WORK-5281F4B034A3,李舒薇
WORK-5281F4B034A3,燕宜芳
WORK-59D0E8CBAE0F,贺少雅
WORK-62649CD8235A,张铮
WORK-62649CD8235A,于伯坤
WORK-62A3B7D920C2,周婷
WORK-67284DE2BEA7,余丽蓉
WORK-781EC6DA541C,杨超
WORK-781EC6DA541C,朱小阳
WORK-8C7D106DF107,张江彩
WORK-8D2CF697EE55,邓宝盈
WORK-90F09923639D,文达平
WORK-968F51C0E52E,张海迪
WORK-9A3B0C4F8B45,王昌怡
WORK-B1ACCE90A557,吴军
WORK-B210BE56C775,万晓娣
WORK-B451D3FCB1F9,魏乔娜
WORK-B451D3FCB1F9,刘俊哲
WORK-B451D3FCB1F9,艾紫依
WORK-B451D3FCB1F9,孟子玲
WORK-B9116C30F17B,徐子涵
WORK-C29BCE32CE0E,吴军
WORK-C443032B380C,夏蜀
WORK-C463DA944BD3,刘潇
WORK-C463DA944BD3,王宏
WORK-C463DA944BD3,熊英
WORK-C4C11C71FA85,朱舒威
WORK-C4C11C71FA85,张浩
WORK-CBA007A05B2A,邵娟
WORK-CC9EEF06D53A,姚梦科
WORK-CFA16D88098F,马小雲
WORK-D96837AB9842,牛宗涛
WORK-D97274688B2E,李广欣
WORK-E311CFBE7B3F,贺一松
WORK-E311CFBE7B3F,王小雄
WORK-E311CFBE7B3F,贺雨昕
WORK-E454C0B8D79B,吴军
WORK-E96B014FF8DA,陈谦
WORK-E96B014FF8DA,赵飞格
WORK-E96B014FF8DA,韩瑞雪
WORK-EC21216E128A,吕绍勋
WORK-F02760EB7CAF,吴敏苏
WORK-F02760EB7CAF,王鹏宇
WORK-F657FBA8BBB5,谈佳洁
WORK-F71094F78F92,袁静晗
WORK-F71094F78F92,廖鑫
WORK-F772F853EF51,姜丽娟
WORK-03FDBB0F0695,郭彬彬
WORK-0555306566B6,兰伟杰
WORK-0D544FDBDF93,刘晓菲
WORK-0D544FDBDF93,李凤亮
WORK-0D5756F1F8D4,柯晓兰
WORK-0E738C935318,何顺民
WORK-0E738C935318,曹文泉
WORK-0F5C52AC24D7,卜亚敏
WORK-0F5C52AC24D7,甄伟锋
WORK-1A1503D6F192,王韬
WORK-1EFFB15BB3CC,窦文章
WORK-1EFFB15BB3CC,王晶
WORK-1FAE8383F02E,王月
WORK-2320F48FDAB7,吴翼帆
WORK-2320F48FDAB7,王海燕
WORK-25C7E13472D8,李旗
WORK-276C5D701476,林磊
WORK-29B68E3C4DF6,魏旭
WORK-2AB54F501A1F,黄鸿宇
WORK-3236E420CE97,牟彪
WORK-3236E420CE97,李兴芬
WORK-33B610A2D8F4,任杰
WORK-35709478D0D9,陈波
WORK-35709478D0D9,林馨雨
WORK-3626689E3E2F,陈波
WORK-3626689E3E2F,赵润
WORK-38839E0251BC,李贝贝
WORK-38E9D6B3DA81,杨媛媛
WORK-38E9D6B3DA81,陈扬
WORK-44EB9DDA48E3,刘玉堂
WORK-44EB9DDA48E3,高睿霞
WORK-467283690DF0,卢懿
WORK-46B0D1D82977,罗向兼
WORK-46F800B0ED57,王惠蓉
WORK-4A2845C94BE8,范玉刚
WORK-4ADB2A326766,董亚宁
WORK-4ADB2A326766,顾芸
WORK-4ADB2A326766,陈威
WORK-4ADB2A326766,杨开忠
WORK-4EE957EE1761,唐洁
WORK-5308A8DE9F40,詹绍文
WORK-5308A8DE9F40,王敏
WORK-5308A8DE9F40,王晓飞
WORK-540523C1FD6D,阳长征
WORK-583FD942C661,郭婧祎
WORK-587D4C30BA40,陈婷丽
WORK-587D4C30BA40,海路
WORK-5DEF2632F3CF,邹梨
WORK-5FE045D8795B,韩筱
WORK-6ACE123D0263,周懿瑾
WORK-6ACE123D0263,张志安
WORK-6ACE123D0263,冯嘉欣
WORK-6D88F27FDBFA,王鸣捷
WORK-6D88F27FDBFA,王婉婷
WORK-719AB6EA4463,刘果
WORK-74BB657F756A,齐骥
WORK-74BB657F756A,亓冉
WORK-76C1F6E75F52,张宇
WORK-76C1F6E75F52,张梦雅
WORK-76C1F6E75F52,于惠洋
WORK-76C1F6E75F52,李艳春
WORK-775431E1FD95,朱斌
WORK-775431E1FD95,赵倩如
WORK-7D2729600B03,金元浦
WORK-992A0D2E9DF6,杨欣悦
WORK-992A0D2E9DF6,彭兰
WORK-9A5409859148,张理
WORK-9A7C01587782,吴军
WORK-9A7C01587782,叶裕民
WORK-9E7D5FB37B65,冷若冰
WORK-A68FF14D4700,姚含烨
WORK-ABF952D0E4A0,鞠博
WORK-AEDBE8866179,周晓薇
WORK-B27C3136A281,闫彦
WORK-B51F0B3BA665,吴焜
WORK-B51F0B3BA665,李林
WORK-B83248BF6439,李亚祺
WORK-B8C5FB6A6240,黄淼
WORK-BC618E542225,崔禹彤
WORK-BFCDAD5D6F62,张琳
WORK-BFCDAD5D6F62,黄美玲
WORK-BFCDAD5D6F62,杨毅
WORK-C2D18F16C995,许加彪
WORK-C2D18F16C995,李亘
