citing_source_id,target_work_id,databases,first_observed,last_observed
CITING-WORK-F949B227A402,WORK-4D2347353F64,official journal record,2026-08-30,2026-08-30
CITING-WORK-F949B227A402,WORK-02ECEF34B48C,official journal record,2026-08-30,2026-08-30
CITING-WORK-F949B227A402,WORK-E065DEDBFD97,official journal record,2026-08-30,2026-08-30
CITING-WORK-F949B227A402,WORK-AD85C44FED1C,official journal record,2026-08-30,2026-08-30
CITING-WORK-F949B227A402,WORK-CBCE82BF26D4,Google Scholar; official journal record,2026-08-30,2026-09-08
CITING-WORK-F949B227A402,WORK-F2BE3834216F,official journal record,2026-08-30,2026-08-30
CITING-WORK-F949B227A402,WORK-21B910A618AC,official journal record,2026-08-30,2026-08-30
CITING-WORK-F949B227A402,WORK-C017443D412F,official journal record,2026-08-30,2026-08-30
CITING-WORK-3F36F0B93CFC,WORK-9A7C01587782,Wanfang,2026-08-30,2026-08-30
CITING-WORK-B2EC2AFB6CA8,WORK-9A7C01587782,Wanfang,2026-08-30,2026-08-30
CITING-WORK-418164555570,WORK-9A7C01587782,Wanfang,2026-08-30,2026-08-30
CITING-WORK-E4415C59AE7A,WORK-9A7C01587782,Wanfang,2026-08-30,2026-08-30
CITING-WORK-A78EFA1084F7,WORK-9A7C01587782,Wanfang,2026-08-30,2026-08-30
CITING-WORK-D14562D3B067,WORK-9A7C01587782,Wanfang,2026-08-30,2026-08-30
CITING-WORK-F5E25612DFE4,WORK-9A7C01587782,Wanfang,2026-08-30,2026-08-30
CITING-WORK-0E7794B90973,WORK-9A7C01587782,Wanfang,2026-08-30,2026-08-30
CITING-WORK-21D9A616B956,WORK-9A7C01587782,Wanfang,2026-08-30,2026-08-30
CITING-WORK-1BC520F6B757,WORK-9A7C01587782,Wanfang,2026-08-30,2026-08-30
CITING-WORK-2724D0AD8CB2,WORK-9A7C01587782,Wanfang,2026-08-30,2026-08-30
CITING-WORK-0A611C916180,WORK-9A7C01587782,Wanfang,2026-08-30,2026-08-30
CITING-WORK-651A97C79CC9,WORK-9A7C01587782,Wanfang,2026-08-30,2026-08-30
CITING-WORK-F7F7A61D7AA4,WORK-9A7C01587782,Wanfang,2026-08-30,2026-08-30
CITING-WORK-75EBFC847A3A,WORK-9A7C01587782,Wanfang,2026-08-30,2026-08-30
CITING-WORK-61601CF72603,WORK-9A7C01587782,Wanfang,2026-08-30,2026-08-30
CITING-WORK-046E4869F948,WORK-9A7C01587782,Wanfang,2026-08-30,2026-08-30
CITING-WORK-B528540C1C73,WORK-9A7C01587782,Wanfang,2026-08-30,2026-08-30
CITING-WORK-D9F2F145177C,WORK-9A7C01587782,Wanfang,2026-08-30,2026-08-30
CITING-WORK-35CDE3C8DE34,WORK-9A7C01587782,Wanfang,2026-08-30,2026-08-30
