citing_source_id,title,authors,year,venue,doi,document_type,language,harmonized_field,field_confidence
CITING-WORK-F949B227A402,"The Construction of Cultural Scenes of Madi Village, Ruijin, China",Keeratiporn Jutaviriya,2024,"Journal of Social Sciences, Chiang Mai University",,journal article,en,RURAL_AGRI,T2
CITING-WORK-3F36F0B93CFC,H5传媒产品场景构建对受众认知和行为的影响研究,黄宁,2021,辽宁师范大学,,master thesis,zh,CULT_MEDIA,T2
CITING-WORK-B2EC2AFB6CA8,场景理论视域下天津市民公共文化参与问题研究,彭怀雪,2021,天津商业大学,,thesis,zh,SOC_POLICY,T2
CITING-WORK-418164555570,城市居民绿色购买行为驱动机理与扩散仿真研究,杨贤传,2021,中国矿业大学,,doctoral thesis,zh,ECON_BUS_CONS,T2
CITING-WORK-E4415C59AE7A,人工智能时代文化消费场景研究,穆琦琦,2022,山东师范大学,,thesis,zh,CULT_MEDIA,T2
CITING-WORK-A78EFA1084F7,文旅融合背景下的历史街区IP设计研究,吴程程,2022,中国美术学院,,master thesis,zh,ARCH_DES_HER,T2
CITING-WORK-D14562D3B067,城市社区公园与生活性服务业的互动关系研究——以成都市中心城区为例,全恒,2022,西南交通大学,,master thesis,zh,URBAN_PLAN_GEO,T2
CITING-WORK-F5E25612DFE4,舒适性视角下杭州市创意空间分布格局及影响因素研究,郭豆豆,2022,浙江工业大学,,master thesis,zh,URBAN_PLAN_GEO,T2
CITING-WORK-0E7794B90973,成都填银漆器的传承与创新设计研究,耿艺恩,2022,四川农业大学,,master thesis,zh,ARCH_DES_HER,T2
CITING-WORK-21D9A616B956,成都市金牛区公园城市C片区治理问题与对策研究,成明穗,2022,四川大学,,master thesis,zh,SOC_POLICY,T2
CITING-WORK-1BC520F6B757,基于场景理论的社区农贸市场公共环境设计研究,余慧怡,2022,东南大学,,thesis,zh,ARCH_DES_HER,T2
CITING-WORK-2724D0AD8CB2,国际社交平台上海消费城市的空间生产与形象建构研究,林程程,2023,上海师范大学,,master thesis,zh,CULT_MEDIA,T2
CITING-WORK-0A611C916180,场景理论视角下古镇旅游语言景观研究--以上海朱家角古镇为例,刘慧,2023,上海师范大学,,thesis,zh,TOUR_HOSP,T2
CITING-WORK-651A97C79CC9,场景理论视域下商业综合体导视系统设计研究,廖峰,2023,江西财经大学,,thesis,zh,ARCH_DES_HER,T2
CITING-WORK-F7F7A61D7AA4,亚文化视角下“土味文化”消费研究,孙梦,2023,闽南师范大学,,master thesis,zh,CULT_MEDIA,T2
CITING-WORK-75EBFC847A3A,“公园城市”背景下城市滨水绿道规划策略研究--以成都市芦溪河绿道为例,胡诗雨,2023,重庆大学,,master thesis,zh,ARCH_DES_HER,T2
CITING-WORK-61601CF72603,公园城市化：城市更新的一种空间再生产规划路径--以绵阳市绵兴路城市更新规划为例,胡艳妮,2023,重庆大学,,master thesis,zh,URBAN_PLAN_GEO,T2
CITING-WORK-046E4869F948,山地城镇开发边界内碎片化农林用地保护与利用研究,万金霞,2023,重庆大学,,master thesis,zh,URBAN_PLAN_GEO,T2
CITING-WORK-B528540C1C73,夜间文旅消费场景对游客价值共创意愿的影响研究,贺阳,2023,武汉轻工大学,,master thesis,zh,SOC_POLICY,T2
CITING-WORK-D9F2F145177C,消费场景视角下特色小镇公共空间优化设计研究--以杭州市龙坞茶镇为例,刘嘉崟,2023,浙江工业大学,,thesis,zh,ARCH_DES_HER,T2
CITING-WORK-35CDE3C8DE34,撸猫馆的情感体验研究--基于杭州地区的调研,吴泸妫,2023,浙江工业大学,,master thesis,zh,CULT_MEDIA,T2
CITING-WORK-929E26276F8D,空间生产：一个工业遗产的保护与开发研究--以C市拖拉机厂文创园为例,姜植峻,2024,吉林大学,,master thesis,zh,SOC_POLICY,T2
CITING-WORK-57451CB2BBD3,成都市公园城市建设水平评价及提升策略研究,陆茜雯,2024,重庆工商大学,,master thesis,zh,SOC_POLICY,T2
CITING-WORK-4A3C9C0F9256,沉浸式演艺空间感知研究——以《只有河南·戏剧幻城》为例,欧阳钰琳,2024,武汉大学,,master thesis,zh,CULT_MEDIA,T2
CITING-WORK-0D8BE22BC4F5,基于场景理论的数字媒体立面设计研究,乐艺,2023,华中科技大学,,thesis,zh,ARCH_DES_HER,T2
CITING-WORK-B98A7ECCF00B,武汉城市街区对城市形象的建构研究,胡一民,2024,湖北大学,,master thesis,zh,CULT_MEDIA,T2
CITING-WORK-105D1BEA03DF,从四维空间看武汉城市慢生活形象建构策略研究,汤若瑶,2024,湖北大学,,master thesis,zh,CULT_MEDIA,T2
CITING-WORK-4E4EE1DEAB00,成都望平街日常生活空间旅游化研究,杨文燕,2024,重庆师范大学,,master thesis,zh,TOUR_HOSP,T2
CITING-WORK-67B1EA4D57CE,公园城市背景下成都市中心城区生活型特色街区优化设计研究,祝博文,2023,西南交通大学,,master thesis,zh,ARCH_DES_HER,T2
CITING-WORK-EB88A97A5E42,场景营造视角下成都旧城街道品质评价与更新策略研究,谢龙杰,2023,西南交通大学,,thesis,zh,URBAN_PLAN_GEO,T2
CITING-WORK-6DA073E7FA12,基于场景理论的城市公共文化空间构建研究——以北海老街为例,杨潇,2024,广西民族大学,,thesis,zh,SOC_POLICY,T2
CITING-WORK-1C51634BCDB7,品牌元宇宙的场景营销特征对消费者品牌参与的影响研究,雷佳运,2024,华南理工大学,,master thesis,zh,CULT_MEDIA,T2
CITING-WORK-221A356A45E0,场景理论视域下的历史街区公共空间更新优化——基于杭州的研究,郎圣伟,2024,浙江工业大学,,thesis,zh,ARCH_DES_HER,T2
CITING-WORK-B6FBD9B5D0D3,场景化思维下城市历史文化街区场域活化设计研究——以马道街视觉设计为例,金仁杰,2024,南京林业大学,,master thesis,zh,ARCH_DES_HER,T2
CITING-WORK-FF8F0961577C,基于场景理论的城市社区第三空间解析与营造--以重庆市沙坪坝区中渡口社区为例,夏梦,2024,重庆大学,,thesis,zh,URBAN_PLAN_GEO,T2
CITING-WORK-2808578ADADF,山地城中村小规模农林空间复合利用研究--以重庆市永川区双龙村为例,马悦,2024,重庆大学,,master thesis,zh,URBAN_PLAN_GEO,T2
CITING-WORK-DB0CCF34B74C,场景理论视角下历史文化街区保护策略--以磁器口历史文化街区为例,安兆璇,2024,重庆大学,,thesis,zh,URBAN_PLAN_GEO,T2
CITING-WORK-CE41774C649E,基于场景营造的广州珠江（白鹅潭段）滨水旧工业区更新研究,樊漫丽,2024,华南理工大学,,thesis,zh,ARCH_DES_HER,T2
CITING-WORK-EFB9022ACBE3,旅游休闲街区文旅场景评价研究--以上海为例,朱文娟,2025,上海师范大学,,thesis,zh,TOUR_HOSP,T2
