a,b,shared_citing_sources
WORK-11BA0618FDA2,WORK-3DD575407739,125
WORK-0B7C450D6ADC,WORK-3DD575407739,103
WORK-0B7C450D6ADC,WORK-11BA0618FDA2,90
WORK-3DD575407739,WORK-5CCEE49C14EE,73
WORK-11BA0618FDA2,WORK-5CCEE49C14EE,67
WORK-3DD575407739,WORK-EECC280B6161,63
WORK-11BA0618FDA2,WORK-EECC280B6161,62
WORK-3DD575407739,WORK-84D006C073AB,59
WORK-11BA0618FDA2,WORK-11C4AAF2C2BE,55
WORK-258AF028DD78,WORK-80AC7412450E,53
WORK-3DD575407739,WORK-CBCE82BF26D4,53
WORK-11BA0618FDA2,WORK-CBCE82BF26D4,52
WORK-11C4AAF2C2BE,WORK-3DD575407739,52
WORK-258AF028DD78,WORK-3DD575407739,52
WORK-0B7C450D6ADC,WORK-CBCE82BF26D4,50
WORK-11BA0618FDA2,WORK-84D006C073AB,50
WORK-0B7C450D6ADC,WORK-EECC280B6161,48
WORK-0B7C450D6ADC,WORK-258AF028DD78,47
WORK-3DD575407739,WORK-43E9D343D41D,47
WORK-0B7C450D6ADC,WORK-5CCEE49C14EE,46
WORK-0BA39736AD58,WORK-11BA0618FDA2,46
WORK-0B7C450D6ADC,WORK-11C4AAF2C2BE,45
WORK-5CCEE49C14EE,WORK-EECC280B6161,45
WORK-3DD575407739,WORK-5F01D46F05DF,44
WORK-11BA0618FDA2,WORK-258AF028DD78,43
WORK-11C4AAF2C2BE,WORK-84D006C073AB,43
WORK-35709478D0D9,WORK-3DD575407739,43
WORK-11BA0618FDA2,WORK-35709478D0D9,42
WORK-5CCEE49C14EE,WORK-CBCE82BF26D4,42
WORK-11BA0618FDA2,WORK-5F01D46F05DF,40
WORK-3DD575407739,WORK-464D5DA7B167,40
WORK-3DD575407739,WORK-67284DE2BEA7,40
WORK-0B7C450D6ADC,WORK-84D006C073AB,39
WORK-11BA0618FDA2,WORK-43E9D343D41D,39
WORK-258AF028DD78,WORK-84D006C073AB,39
WORK-0B7C450D6ADC,WORK-464D5DA7B167,38
WORK-0B7C450D6ADC,WORK-67284DE2BEA7,38
WORK-11BA0618FDA2,WORK-67284DE2BEA7,38
WORK-11C4AAF2C2BE,WORK-67284DE2BEA7,38
WORK-84D006C073AB,WORK-CBCE82BF26D4,38
WORK-AAB042DA1058,WORK-EECC280B6161,38
WORK-0B7C450D6ADC,WORK-43E9D343D41D,37
WORK-0BA39736AD58,WORK-3DD575407739,37
WORK-11BA0618FDA2,WORK-F7A7EC2D740F,37
WORK-11C4AAF2C2BE,WORK-5CCEE49C14EE,37
WORK-11C4AAF2C2BE,WORK-80AC7412450E,37
WORK-3DD575407739,WORK-5281F4B034A3,37
WORK-5F01D46F05DF,WORK-84D006C073AB,37
WORK-0B7C450D6ADC,WORK-5F01D46F05DF,36
WORK-11BA0618FDA2,WORK-AAB042DA1058,36
WORK-11C4AAF2C2BE,WORK-258AF028DD78,36
WORK-35709478D0D9,WORK-5CCEE49C14EE,36
WORK-3DD575407739,WORK-F0FD43E93B7D,36
WORK-11BA0618FDA2,WORK-18683D52F9EB,35
WORK-3DD575407739,WORK-80AC7412450E,35
WORK-3DD575407739,WORK-AAB042DA1058,35
WORK-3DD575407739,WORK-F7A7EC2D740F,35
WORK-43E9D343D41D,WORK-5CCEE49C14EE,35
WORK-0B7C450D6ADC,WORK-35709478D0D9,34
WORK-0B7C450D6ADC,WORK-AAB042DA1058,34
WORK-11BA0618FDA2,WORK-464D5DA7B167,34
WORK-11C4AAF2C2BE,WORK-CBCE82BF26D4,34
WORK-11C4AAF2C2BE,WORK-EECC280B6161,34
WORK-18683D52F9EB,WORK-3DD575407739,34
WORK-258AF028DD78,WORK-CBCE82BF26D4,34
WORK-11BA0618FDA2,WORK-9A7C01587782,33
WORK-11C4AAF2C2BE,WORK-35709478D0D9,33
WORK-0B7C450D6ADC,WORK-B505B0D8FEAA,32
WORK-11BA0618FDA2,WORK-7647EECE73A6,32
WORK-3DD575407739,WORK-B505B0D8FEAA,32
WORK-3DD575407739,WORK-BC5A9BAE5E66,32
WORK-5CCEE49C14EE,WORK-5F01D46F05DF,32
WORK-0B7C450D6ADC,WORK-5281F4B034A3,31
WORK-0B7C450D6ADC,WORK-80AC7412450E,31
WORK-11BA0618FDA2,WORK-5281F4B034A3,31
WORK-11BA0618FDA2,WORK-F0FD43E93B7D,31
WORK-67284DE2BEA7,WORK-84D006C073AB,31
WORK-11BA0618FDA2,WORK-80AC7412450E,30
WORK-258AF028DD78,WORK-91F01F668C94,30
WORK-3DD575407739,WORK-7647EECE73A6,30
WORK-5F01D46F05DF,WORK-CBCE82BF26D4,30
WORK-67284DE2BEA7,WORK-CBCE82BF26D4,30
WORK-0B7C450D6ADC,WORK-18683D52F9EB,29
WORK-11BA0618FDA2,WORK-B505B0D8FEAA,29
WORK-11C4AAF2C2BE,WORK-5F01D46F05DF,29
WORK-086D6264647C,WORK-0B7C450D6ADC,17
WORK-086D6264647C,WORK-0BA39736AD58,16
