period_label,primary_topic,topic_label,works,period_total,share
2012–2016,ART_IDENTITY_EDUCATION,"Arts, identity, and education",1,15,0.06666666666666667
2012–2016,CULTURAL_CONSUMPTION_COMMERCIAL,Cultural consumption,0,15,0
2012–2016,CULTURAL_CREATIVE_INNOVATION,Creative industries and innovation,0,15,0
2012–2016,DIGITAL_VIRTUAL_MEDIA,"Digital, virtual, and media",2,15,0.13333333333333333
2012–2016,INTERDISC_OTHER,Interdisciplinary/other,3,15,0.2
2012–2016,POLICY_GOVERNANCE_MEASUREMENT,"Policy, governance, and measurement",3,15,0.2
2012–2016,PUBLIC_CULTURE_COMMUNITY,Public culture and community,0,15,0
2012–2016,RURAL_DEVELOPMENT,Rural development,2,15,0.13333333333333333
2012–2016,SPORT_LEISURE,Sport and leisure,0,15,0
2012–2016,THEORY_GATEWAY,Theory gateways and reviews,4,15,0.26666666666666666
2012–2016,TOURISM_HERITAGE_PLACE,"Tourism, heritage, and place",0,15,0
2012–2016,URBAN_RENEWAL_DESIGN,Urban renewal and design,0,15,0
2017–2019,ART_IDENTITY_EDUCATION,"Arts, identity, and education",1,39,0.02564102564102564
2017–2019,CULTURAL_CONSUMPTION_COMMERCIAL,Cultural consumption,3,39,0.07692307692307693
2017–2019,CULTURAL_CREATIVE_INNOVATION,Creative industries and innovation,3,39,0.07692307692307693
2017–2019,DIGITAL_VIRTUAL_MEDIA,"Digital, virtual, and media",2,39,0.05128205128205128
2017–2019,INTERDISC_OTHER,Interdisciplinary/other,6,39,0.15384615384615385
2017–2019,POLICY_GOVERNANCE_MEASUREMENT,"Policy, governance, and measurement",5,39,0.1282051282051282
2017–2019,PUBLIC_CULTURE_COMMUNITY,Public culture and community,10,39,0.2564102564102564
2017–2019,RURAL_DEVELOPMENT,Rural development,6,39,0.15384615384615385
2017–2019,SPORT_LEISURE,Sport and leisure,0,39,0
2017–2019,THEORY_GATEWAY,Theory gateways and reviews,1,39,0.02564102564102564
2017–2019,TOURISM_HERITAGE_PLACE,"Tourism, heritage, and place",1,39,0.02564102564102564
2017–2019,URBAN_RENEWAL_DESIGN,Urban renewal and design,1,39,0.02564102564102564
2020–2022,ART_IDENTITY_EDUCATION,"Arts, identity, and education",4,128,0.03125
2020–2022,CULTURAL_CONSUMPTION_COMMERCIAL,Cultural consumption,9,128,0.0703125
2020–2022,CULTURAL_CREATIVE_INNOVATION,Creative industries and innovation,9,128,0.0703125
2020–2022,DIGITAL_VIRTUAL_MEDIA,"Digital, virtual, and media",14,128,0.109375
2020–2022,INTERDISC_OTHER,Interdisciplinary/other,14,128,0.109375
2020–2022,POLICY_GOVERNANCE_MEASUREMENT,"Policy, governance, and measurement",0,128,0
2020–2022,PUBLIC_CULTURE_COMMUNITY,Public culture and community,20,128,0.15625
2020–2022,RURAL_DEVELOPMENT,Rural development,23,128,0.1796875
2020–2022,SPORT_LEISURE,Sport and leisure,4,128,0.03125
2020–2022,THEORY_GATEWAY,Theory gateways and reviews,1,128,0.0078125
2020–2022,TOURISM_HERITAGE_PLACE,"Tourism, heritage, and place",19,128,0.1484375
2020–2022,URBAN_RENEWAL_DESIGN,Urban renewal and design,11,128,0.0859375
2023–2025,ART_IDENTITY_EDUCATION,"Arts, identity, and education",10,259,0.03861003861003861
2023–2025,CULTURAL_CONSUMPTION_COMMERCIAL,Cultural consumption,20,259,0.07722007722007722
2023–2025,CULTURAL_CREATIVE_INNOVATION,Creative industries and innovation,5,259,0.019305019305019305
2023–2025,DIGITAL_VIRTUAL_MEDIA,"Digital, virtual, and media",27,259,0.10424710424710425
2023–2025,INTERDISC_OTHER,Interdisciplinary/other,24,259,0.09266409266409266
2023–2025,POLICY_GOVERNANCE_MEASUREMENT,"Policy, governance, and measurement",4,259,0.015444015444015444
2023–2025,PUBLIC_CULTURE_COMMUNITY,Public culture and community,46,259,0.1776061776061776
2023–2025,RURAL_DEVELOPMENT,Rural development,43,259,0.16602316602316602
2023–2025,SPORT_LEISURE,Sport and leisure,14,259,0.05405405405405406
2023–2025,THEORY_GATEWAY,Theory gateways and reviews,2,259,0.007722007722007722
2023–2025,TOURISM_HERITAGE_PLACE,"Tourism, heritage, and place",49,259,0.1891891891891892
2023–2025,URBAN_RENEWAL_DESIGN,Urban renewal and design,15,259,0.05791505791505792
