field_code,field,count,share
ARCH_DES_HER,"Architecture, design, and heritage",86,0.1762295081967213
CULT_MEDIA,"Culture, arts, and media",86,0.1762295081967213
ECON_BUS_CONS,"Economics, business, and consumption",24,0.04918032786885246
EDUCATION,Education,13,0.02663934426229508
INFO_TECH,Information and library studies,38,0.0778688524590164
INTERDISC_OTHER,Interdisciplinary/other,126,0.2581967213114754
MATH_SYSTEMS,Mathematics and systems science,1,0.0020491803278688526
RURAL_AGRI,Rural and agricultural studies,8,0.01639344262295082
SOC_POLICY,Social science and policy,26,0.05327868852459016
SPORT_LEISURE,Sport and leisure,16,0.03278688524590164
TOUR_HOSP,Tourism and hospitality,12,0.02459016393442623
URBAN_PLAN_GEO,Urban planning and geography,52,0.10655737704918032
