field_code,field,count,share
ARCH_DES_HER,"Architecture, design, and heritage",900,0.1996007984031936
CULT_MEDIA,"Culture, arts, and media",738,0.16367265469061876
ECON_BUS_CONS,"Economics, business, and consumption",379,0.08405411399423375
EDUCATION,Education,112,0.024839210467952982
INFO_TECH,Information and library studies,250,0.05544466622310934
INTERDISC_OTHER,Interdisciplinary/other,443,0.09824794854734975
MATH_SYSTEMS,Mathematics and systems science,0,0
RURAL_AGRI,Rural and agricultural studies,486,0.10778443113772455
SOC_POLICY,Social science and policy,149,0.03304502106897316
SPORT_LEISURE,Sport and leisure,112,0.024839210467952982
TOUR_HOSP,Tourism and hospitality,530,0.1175426923929918
URBAN_PLAN_GEO,Urban planning and geography,410,0.09092925260589932
