target_work_id,target_title,target_year,wanfang_count,case_order,case_label,citing_year,new_citing_sources,cumulative_citing_sources,years_since_publication
WORK-11BA0618FDA2,城市社会学研究前沿：场景理论述评,2014,396,1,Wu 2014 review,2014,2,2,0
WORK-11BA0618FDA2,城市社会学研究前沿：场景理论述评,2014,396,1,Wu 2014 review,2015,4,6,1
WORK-11BA0618FDA2,城市社会学研究前沿：场景理论述评,2014,396,1,Wu 2014 review,2016,5,11,2
WORK-11BA0618FDA2,城市社会学研究前沿：场景理论述评,2014,396,1,Wu 2014 review,2017,7,18,3
WORK-11BA0618FDA2,城市社会学研究前沿：场景理论述评,2014,396,1,Wu 2014 review,2018,6,24,4
WORK-11BA0618FDA2,城市社会学研究前沿：场景理论述评,2014,396,1,Wu 2014 review,2019,14,38,5
WORK-11BA0618FDA2,城市社会学研究前沿：场景理论述评,2014,396,1,Wu 2014 review,2020,21,59,6
WORK-11BA0618FDA2,城市社会学研究前沿：场景理论述评,2014,396,1,Wu 2014 review,2021,39,98,7
WORK-11BA0618FDA2,城市社会学研究前沿：场景理论述评,2014,396,1,Wu 2014 review,2022,47,145,8
WORK-11BA0618FDA2,城市社会学研究前沿：场景理论述评,2014,396,1,Wu 2014 review,2023,73,218,9
WORK-11BA0618FDA2,城市社会学研究前沿：场景理论述评,2014,396,1,Wu 2014 review,2024,87,305,10
WORK-11BA0618FDA2,城市社会学研究前沿：场景理论述评,2014,396,1,Wu 2014 review,2025,80,385,11
WORK-3DD575407739,场景理论与城市发展——芝加哥学派城市研究新理论范式,2013,339,2,Wu-Xia-Clark 2013,2013,0,0,0
WORK-3DD575407739,场景理论与城市发展——芝加哥学派城市研究新理论范式,2013,339,2,Wu-Xia-Clark 2013,2014,2,2,1
WORK-3DD575407739,场景理论与城市发展——芝加哥学派城市研究新理论范式,2013,339,2,Wu-Xia-Clark 2013,2015,4,6,2
WORK-3DD575407739,场景理论与城市发展——芝加哥学派城市研究新理论范式,2013,339,2,Wu-Xia-Clark 2013,2016,3,9,3
WORK-3DD575407739,场景理论与城市发展——芝加哥学派城市研究新理论范式,2013,339,2,Wu-Xia-Clark 2013,2017,6,15,4
WORK-3DD575407739,场景理论与城市发展——芝加哥学派城市研究新理论范式,2013,339,2,Wu-Xia-Clark 2013,2018,4,19,5
WORK-3DD575407739,场景理论与城市发展——芝加哥学派城市研究新理论范式,2013,339,2,Wu-Xia-Clark 2013,2019,12,31,6
WORK-3DD575407739,场景理论与城市发展——芝加哥学派城市研究新理论范式,2013,339,2,Wu-Xia-Clark 2013,2020,20,51,7
WORK-3DD575407739,场景理论与城市发展——芝加哥学派城市研究新理论范式,2013,339,2,Wu-Xia-Clark 2013,2021,33,84,8
WORK-3DD575407739,场景理论与城市发展——芝加哥学派城市研究新理论范式,2013,339,2,Wu-Xia-Clark 2013,2022,45,129,9
WORK-3DD575407739,场景理论与城市发展——芝加哥学派城市研究新理论范式,2013,339,2,Wu-Xia-Clark 2013,2023,62,191,10
WORK-3DD575407739,场景理论与城市发展——芝加哥学派城市研究新理论范式,2013,339,2,Wu-Xia-Clark 2013,2024,82,273,11
WORK-3DD575407739,场景理论与城市发展——芝加哥学派城市研究新理论范式,2013,339,2,Wu-Xia-Clark 2013,2025,63,336,12
WORK-0B7C450D6ADC,场景理论：区域发展文化动力的探索及启示,2012,250,3,Xu-Zhao-Clark 2012,2012,0,0,0
WORK-0B7C450D6ADC,场景理论：区域发展文化动力的探索及启示,2012,250,3,Xu-Zhao-Clark 2012,2013,0,0,1
