period,period_label,works,marker,share,period_index,value_label,value_label_y
2012–2016: gateway formation,2012–2016,15,Policy,0.26666666666666666,1,27%,0.2836666666666667
2012–2016: gateway formation,2012–2016,15,Design,0.06666666666666667,1,7%,0.08366666666666667
2012–2016: gateway formation,2012–2016,15,Measurement,0.06666666666666667,1,7%,0.049666666666666665
2017–2019: domestic relay,2017–2019,39,Policy,0.3076923076923077,2,31%,0.3246923076923077
2017–2019: domestic relay,2017–2019,39,Design,0.2564102564102564,2,26%,0.2734102564102564
2017–2019: domestic relay,2017–2019,39,Measurement,0.10256410256410256,2,10%,0.08556410256410256
2020–2022: rapid application,2020–2022,128,Policy,0.1328125,3,13%,0.14981250000000002
2020–2022: rapid application,2020–2022,128,Design,0.3125,3,31%,0.3295
2020–2022: rapid application,2020–2022,128,Measurement,0.0859375,3,9%,0.0689375
2023–2025: expansion and convergence,2023–2025,259,Policy,0.138996138996139,4,14%,0.155996138996139
2023–2025: expansion and convergence,2023–2025,259,Design,0.3359073359073359,4,34%,0.3529073359073359
2023–2025: expansion and convergence,2023–2025,259,Measurement,0.07722007722007722,4,8%,0.06022007722007722
