author_1,author_2,shared_works,first_shared_year,latest_shared_year
陆梓欣,齐骥,3,2022,2025
亓冉,齐骥,2,2020,2022
刘彤瑶,陈波,2,2022,2026
刘志刚,赵科印,2,2024,2026
吴军,特里N克拉克,2,2014,2016
唐璞妮,淳姣,2,2022,2023
庞兆玲,王学基,2,2025,2025
张丁戈,王瑞文,2,2024,2024
张中波,范长存,2,2023,2023
涂晓晗,陈波,2,2023,2026
温阳,王峰,2,2024,2024
石坚韧,赵秀敏,2,2021,2025
詹绍文,邓雨龙,2,2023,2023
路幸福,邹成龙,2,2025,2025
陈墅香,陈溢晨,2,2024,2025
靳春燕,韦晓宁,2,2024,2024
ChaiDongdong,HeJiani,1,2024,2024
ChenXiaojian,LuYan,1,2026,2026
ChenXiaojian,ZhangYuzheng,1,2026,2026
JieShen,JunchaoShen,1,2023,2023
JieShen,ShuaiHong,1,2023,2023
JieShen,TengfeiChai,1,2023,2023
JieShen,WeiMao,1,2023,2023
JunchaoShen,ShuaiHong,1,2023,2023
JunchaoShen,TengfeiChai,1,2023,2023
JunchaoShen,WeiMao,1,2023,2023
LanB.Y.,LianH.Y.,1,2023,2023
LuYan,ZhangYuzheng,1,2026,2026
ShuaiHong,TengfeiChai,1,2023,2023
ShuaiHong,WeiMao,1,2023,2023
TengfeiChai,WeiMao,1,2023,2023
WangT,WuJ,1,2021,2021
WangT,ZhengH,1,2021,2021
WangT,andClarkTN,1,2021,2021
WuJ,ZhengH,1,2021,2021
WuJ,andClarkTN,1,2021,2021
ZhengH,andClarkTN,1,2021,2021
丁冠榕,宋博,1,2022,2022
丁冠榕,张春燕,1,2022,2022
丁奇,梁健,1,2024,2024
丁奇,田雨泽,1,2024,2024
丁奇,郝勇翔,1,2024,2024
丁梦瑶,张勇丽,1,2022,2022
丁程,陈波,1,2018,2018
丁竹慧,杨俊涛,1,2025,2025
丁竹慧,陈煊,1,2025,2025
万茹捷,汪全莉,1,2024,2024
严贝妮,张永兴,1,2024,2024
严贝妮,王露雅,1,2025,2025
乔瑞,王亚迅,1,2022,2022
于伯坤,张铮,1,2019,2019
于子尧,周延伟,1,2025,2025
于梦洁,朱天梅,1,2023,2023
于海龙,和雪,1,2025,2025
于海龙,温赛,1,2025,2025
亓冉,特里N克拉克,1,2022,2022
付鹏伟,王凌,1,2025,2025
任云英,杨鹏森,1,2024,2024
任云英,韩雨昕,1,2024,2024
任劲劲,殷宝为,1,2024,2024
任卓异,刘遗志,1,2026,2026
任卓异,姜凌,1,2026,2026
任磊,储艳洁,1,2025,2025
任秀芹,张佳琪,1,2022,2022
伍徐欣,兰丹,1,2025,2025
伍徐欣,赵钱森,1,2025,2025
伍玲,李艳华,1,2025,2025
伍玲,蔡秋阳,1,2025,2025
何夷伦,詹绍文,1,2023,2023
何夷伦,邓雨龙,1,2023,2023
何爱霞,赵雨,1,2026,2026
何玉珍,林昆勇,1,2015,2015
何盼盼,陈雅,1,2019,2019
何芩,孟令君,1,2025,2025
何芩,郭婧,1,2025,2025
何芩,闫旭睿,1,2025,2025
何苗,罗泓,1,2024,2024
何茜倩,洪邵平,1,2026,2026
何茜倩,罗涛,1,2026,2026
何鸿飞,张恩荣,1,2024,2024
何鸿飞,陈庚,1,2024,2024
何鹏,傅才武,1,2021,2021
侯传勇,李军红,1,2021,2021
侯森栋,刘益铭,1,2026,2026
侯森栋,李嘉琪,1,2026,2026
侯森栋,桂智,1,2026,2026
侯森栋,郑卫民,1,2026,2026
侯雪言,傅才武,1,2016,2016
侯雪言,宫玥,1,2024,2024
侯雪言,陈波,1,2017,2017
倪杨,周琼,1,2025,2025
倪楚悦,李裕富,1,2024,2024
倪楚悦,耿虹,1,2024,2024
倪楚越,李昱甫,1,2024,2024
倪楚越,耿虹,1,2024,2024
傅尧,董海龙,1,2025,2025
傅尧,郭亚成,1,2025,2025
傅才武,李俊辰,1,2022,2022
傅才武,王异凡,1,2021,2021
傅才武,贺怡,1,2021,2021
傅斯鎏,耿达,1,2023,2023
傅毅,赖泓兵,1,2026,2026
傅红,杜茜,1,2024,2024
傅莹,郭嘉,1,2022,2022
兰丹,赵钱森,1,2025,2025
冯一泰,李明星,1,2021,2021
冯一泰,蒲焘,1,2021,2021
冯亚星,魏凯辰,1,2025,2025
冯涵瑞,张佳泋,1,2025,2025
冯涵瑞,李江敏,1,2025,2025
冯舒,唐正宇,1,2022,2022
冯舒,杨志鹏,1,2022,2022
冯舒,汤沫熙,1,2022,2022
冯舒,郭晨,1,2022,2022
刘一锐,魏进平,1,2025,2025
刘中华,焦基鹏,1,2021,2021
刘亦巍,邓婷尹,1,2024,2024
刘俊辉,许尔凯,1,2021,2021
刘勇,陈泳,1,2024,2024
刘勇,陶曼丽,1,2024,2024
刘启航,李康化,1,2023,2023
刘塨,陈墅香,1,2024,2024
刘塨,陈溢晨,1,2024,2024
刘宇,高雪聪,1,2023,2023
刘宗璇,龚立君,1,2023,2023
刘家齐,姜乃源,1,2025,2025
刘家齐,郭娜,1,2025,2025
刘敏,吴怡,1,2026,2026
刘新静,谈佳洁,1,2023,2023
刘春腊,李光辉,1,2025,2025
