component,size,rank
9,27,1
18,22,2
124,6,3
3,5,4
27,5,5
36,5,6
38,5,7
47,5,8
89,5,9
90,5,10
112,5,11
123,5,12
176,5,13
5,4,14
7,4,15
31,4,16
34,4,17
66,4,18
82,4,19
95,4,20
98,4,21
113,4,22
114,4,23
116,4,24
118,4,25
120,4,26
122,4,27
155,4,28
200,4,29
213,4,30
215,4,31
229,4,32
233,4,33
248,4,34
2,3,35
6,3,36
10,3,37
12,3,38
14,3,39
17,3,40
20,3,41
22,3,42
25,3,43
26,3,44
30,3,45
33,3,46
39,3,47
40,3,48
44,3,49
46,3,50
52,3,51
54,3,52
57,3,53
61,3,54
63,3,55
70,3,56
74,3,57
75,3,58
79,3,59
80,3,60
81,3,61
85,3,62
87,3,63
91,3,64
94,3,65
99,3,66
101,3,67
102,3,68
103,3,69
106,3,70
109,3,71
110,3,72
111,3,73
115,3,74
119,3,75
125,3,76
127,3,77
128,3,78
131,3,79
133,3,80
136,3,81
138,3,82
139,3,83
151,3,84
152,3,85
153,3,86
156,3,87
157,3,88
162,3,89
165,3,90
166,3,91
167,3,92
172,3,93
178,3,94
181,3,95
182,3,96
186,3,97
187,3,98
188,3,99
192,3,100
193,3,101
194,3,102
195,3,103
196,3,104
197,3,105
199,3,106
209,3,107
212,3,108
216,3,109
219,3,110
225,3,111
227,3,112
235,3,113
239,3,114
240,3,115
241,3,116
244,3,117
250,3,118
254,3,119
1,2,120
4,2,121
8,2,122
11,2,123
13,2,124
15,2,125
16,2,126
19,2,127
21,2,128
23,2,129
24,2,130
28,2,131
29,2,132
32,2,133
35,2,134
37,2,135
41,2,136
42,2,137
43,2,138
45,2,139
48,2,140
49,2,141
50,2,142
51,2,143
53,2,144
55,2,145
56,2,146
58,2,147
59,2,148
60,2,149
62,2,150
64,2,151
65,2,152
67,2,153
68,2,154
69,2,155
71,2,156
72,2,157
73,2,158
76,2,159
77,2,160
78,2,161
83,2,162
84,2,163
86,2,164
88,2,165
92,2,166
93,2,167
96,2,168
97,2,169
100,2,170
104,2,171
105,2,172
107,2,173
108,2,174
117,2,175
121,2,176
126,2,177
129,2,178
130,2,179
132,2,180
134,2,181
135,2,182
137,2,183
140,2,184
141,2,185
142,2,186
143,2,187
144,2,188
145,2,189
146,2,190
147,2,191
148,2,192
149,2,193
150,2,194
154,2,195
158,2,196
159,2,197
160,2,198
161,2,199
163,2,200
164,2,201
168,2,202
169,2,203
170,2,204
171,2,205
173,2,206
174,2,207
175,2,208
177,2,209
179,2,210
180,2,211
183,2,212
184,2,213
185,2,214
189,2,215
190,2,216
191,2,217
198,2,218
201,2,219
202,2,220
203,2,221
204,2,222
205,2,223
206,2,224
207,2,225
208,2,226
210,2,227
211,2,228
214,2,229
217,2,230
218,2,231
220,2,232
221,2,233
222,2,234
223,2,235
224,2,236
226,2,237
228,2,238
230,2,239
231,2,240
232,2,241
234,2,242
236,2,243
237,2,244
238,2,245
242,2,246
243,2,247
245,2,248
246,2,249
247,2,250
249,2,251
251,2,252
252,2,253
253,2,254
255,2,255
256,2,256
257,2,257
258,2,258
259,2,259
260,2,260
